id,productoId,cantidad,precio,fecha,empleadoId
vent001,prod001,2,24.50,2024-01-01,emp003
vent002,prod002,1,11.50,2024-01-01,emp004
vent003,prod011,1,16.00,2024-01-01,emp010
vent004,prod003,1,28.00,2024-01-01,emp003
vent005,prod004,2,15.50,2024-01-01,emp007
vent006,prod012,4,5.50,2024-01-01,emp010
vent007,prod006,3,13.00,2024-01-01,emp004
vent008,prod007,1,30.00,2024-01-01,emp003
vent009,prod008,2,10.50,2024-01-01,emp007
vent010,prod009,1,32.00,2024-01-01,emp003
vent011,prod013,2,24.00,2024-01-01,emp010
vent012,prod010,2,18.00,2024-01-01,emp004
vent013,prod014,1,9.50,2024-01-01,emp007
vent014,prod015,2,7.50,2024-01-01,emp007
vent015,prod016,1,26.00,2024-01-01,emp003
vent016,prod017,3,21.00,2024-01-01,emp004
vent017,prod005,1,32.00,2024-01-01,emp007
vent018,prod018,2,10.00,2024-01-01,emp004
vent019,prod019,1,36.00,2024-01-01,emp003
vent020,prod020,4,9.00,2024-01-01,emp007
vent021,prod001,1,24.50,2024-01-02,emp003
vent022,prod002,2,11.50,2024-01-02,emp004
vent023,prod011,2,16.00,2024-01-02,emp010
vent024,prod003,1,28.00,2024-01-02,emp003
vent025,prod004,1,15.50,2024-01-02,emp007
vent026,prod012,3,5.50,2024-01-02,emp010
vent027,prod006,2,13.00,2024-01-02,emp004
vent028,prod007,1,30.00,2024-01-02,emp003
vent029,prod008,1,10.50,2024-01-02,emp007
vent030,prod009,1,32.00,2024-01-02,emp003
vent031,prod013,1,24.00,2024-01-02,emp010
vent032,prod010,1,18.00,2024-01-02,emp004
vent033,prod014,2,9.50,2024-01-02,emp007
vent034,prod015,1,7.50,2024-01-02,emp007
vent035,prod016,1,26.00,2024-01-02,emp003
vent036,prod017,2,21.00,2024-01-02,emp004
vent037,prod005,1,32.00,2024-01-02,emp007
vent038,prod018,1,10.00,2024-01-02,emp004
vent039,prod019,1,36.00,2024-01-02,emp003
vent040,prod020,2,9.00,2024-01-02,emp007
vent041,prod001,2,24.50,2024-01-03,emp003
vent042,prod002,1,11.50,2024-01-03,emp004
vent043,prod011,1,16.00,2024-01-03,emp010
vent044,prod003,2,28.00,2024-01-03,emp003
vent045,prod004,2,15.50,2024-01-03,emp007
vent046,prod012,5,5.50,2024-01-03,emp010
vent047,prod006,3,13.00,2024-01-03,emp004
vent048,prod007,1,30.00,2024-01-03,emp003
vent049,prod008,2,10.50,2024-01-03,emp007
vent050,prod009,2,32.00,2024-01-03,emp003
vent051,prod013,2,24.00,2024-01-03,emp010
vent052,prod010,2,18.00,2024-01-03,emp004
vent053,prod014,1,9.50,2024-01-03,emp007
vent054,prod015,2,7.50,2024-01-03,emp007
vent055,prod016,1,26.00,2024-01-03,emp003
vent056,prod017,3,21.00,2024-01-03,emp004
vent057,prod005,1,32.00,2024-01-03,emp007
vent058,prod018,2,10.00,2024-01-03,emp004
vent059,prod019,1,36.00,2024-01-03,emp003
vent060,prod020,3,9.00,2024-01-03,emp007
vent061,prod001,1,24.50,2024-01-04,emp003
vent062,prod002,3,11.50,2024-01-04,emp004
vent063,prod011,2,16.00,2024-01-04,emp010
vent064,prod003,1,28.00,2024-01-04,emp003
vent065,prod004,1,15.50,2024-01-04,emp007
vent066,prod012,4,5.50,2024-01-04,emp010
vent067,prod006,2,13.00,2024-01-04,emp004
vent068,prod007,2,30.00,2024-01-04,emp003
vent069,prod008,1,10.50,2024-01-04,emp007
vent070,prod009,1,32.00,2024-01-04,emp003
vent071,prod013,1,24.00,2024-01-04,emp010
vent072,prod010,1,18.00,2024-01-04,emp004
vent073,prod014,2,9.50,2024-01-04,emp007
vent074,prod015,1,7.50,2024-01-04,emp007
vent075,prod016,1,26.00,2024-01-04,emp003
vent076,prod017,2,21.00,2024-01-04,emp004
vent077,prod005,1,32.00,2024-01-04,emp007
vent078,prod018,1,10.00,2024-01-04,emp004
vent079,prod019,1,36.00,2024-01-04,emp003
vent080,prod020,2,9.00,2024-01-04,emp007
vent081,prod001,2,24.50,2024-01-05,emp003
vent082,prod002,2,11.50,2024-01-05,emp004
vent083,prod011,1,16.00,2024-01-05,emp010
vent084,prod003,1,28.00,2024-01-05,emp003
vent085,prod004,2,15.50,2024-01-05,emp007
vent086,prod012,6,5.50,2024-01-05,emp010
vent087,prod006,4,13.00,2024-01-05,emp004
vent088,prod007,1,30.00,2024-01-05,emp003
vent089,prod008,2,10.50,2024-01-05,emp007
vent090,prod009,1,32.00,2024-01-05,emp003
vent091,prod013,2,24.00,2024-01-05,emp010
vent092,prod010,3,18.00,2024-01-05,emp004
vent093,prod014,1,9.50,2024-01-05,emp007
vent094,prod015,2,7.50,2024-01-05,emp007
vent095,prod016,1,26.00,2024-01-05,emp003
vent096,prod017,2,21.00,2024-01-05,emp004
vent097,prod005,1,32.00,2024-01-05,emp007
vent098,prod018,2,10.00,2024-01-05,emp004
vent099,prod019,1,36.00,2024-01-05,emp003
vent100,prod020,4,9.00,2024-01-05,emp007
vent101,prod001,1,24.50,2024-01-06,emp003
vent102,prod002,1,11.50,2024-01-06,emp004
vent103,prod011,2,16.00,2024-01-06,emp010
vent104,prod003,2,28.00,2024-01-06,emp003
vent105,prod004,1,15.50,2024-01-06,emp007
vent106,prod012,3,5.50,2024-01-06,emp010
vent107,prod006,2,13.00,2024-01-06,emp004
vent108,prod007,1,30.00,2024-01-06,emp003
vent109,prod008,1,10.50,2024-01-06,emp007
vent110,prod009,2,32.00,2024-01-06,emp003
vent111,prod013,1,24.00,2024-01-06,emp010
vent112,prod010,2,18.00,2024-01-06,emp004
vent113,prod014,2,9.50,2024-01-06,emp007
vent114,prod015,1,7.50,2024-01-06,emp007
vent115,prod016,1,26.00,2024-01-06,emp003
vent116,prod017,3,21.00,2024-01-06,emp004
vent117,prod005,1,32.00,2024-01-06,emp007
vent118,prod018,1,10.00,2024-01-06,emp004
vent119,prod019,1,36.00,2024-01-06,emp003
vent120,prod020,2,9.00,2024-01-06,emp007
vent121,prod001,2,24.50,2024-01-07,emp003
